model,title,price,link,authenticity,sell_date,sell_date_dt,week_of_year
Air Jordan 1 Bred 1985,Original vintage 1985 Jordan 1 Bred Size 9 in amazing condition Right shoe only,325.0,https://www.ebay.com/itm/135429488780,,2024-12-16,2024-12-16,51
Air Jordan 1 Bred 1985,"Size 10 - Jordan 1 Retro OG High Banned, Bred",247.0,https://www.ebay.com/itm/226645169511,,2024-12-20,2024-12-20,51
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred,153.0,https://www.ebay.com/itm/146435708936,,2024-12-23,2024-12-23,52
Air Jordan 1 Bred 1985,Jordan 1 Retro OG High Patent Bred - Size 13,155.0,https://www.ebay.com/itm/405634081981,,2024-12-26,2024-12-26,52
Air Jordan 1 Bred 1985,"Nike Air Jordan 1 Retro Banned 'Bred' 2016 Size 10 - Authentic, USED Condition",173.9,https://www.ebay.com/itm/387464649949,,2024-12-29,2024-12-29,52
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred,240.0,https://www.ebay.com/itm/256792015633,,2025-01-01,2025-01-01,1
Air Jordan 1 Bred 1985,2016 “Bred” Air Jordan 1,239.99,https://www.ebay.com/itm/226641824337,,2025-01-05,2025-01-05,1
Air Jordan 1 Bred 1985,2016 “Bred” Air Jordan 1,219.99,https://www.ebay.com/itm/226607613459,,2025-01-08,2025-01-08,2
Air Jordan 1 Bred 1985,Jordan 1 High Patent Bred,130.0,https://www.ebay.com/itm/286382936757,,2025-01-11,2025-01-11,2
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred used NO BOX !!!,120.0,https://www.ebay.com/itm/226628841812,,2025-01-14,2025-01-14,3
Air Jordan 1 Bred 1985,Nike Air Jordan 1 Retro High OG Shadow 555088-013 Size 10 2018,220.0,https://www.ebay.com/itm/135595150612,,2025-01-17,2025-01-17,3
Air Jordan 1 Bred 1985,Jordan 1 Mid Banned 2020 Size 13 554724-074 Black Red Bred OG Men’s Shoes,65.0,https://www.ebay.com/itm/316417856973,,2025-01-21,2025-01-21,4
Air Jordan 1 Bred 1985,Nike Jordan 1 Retro High “Bred Banned” 2016 Sz 10,400.0,https://www.ebay.com/itm/226091622148,,2025-01-24,2025-01-24,4
