model,title,price,link,authenticity,sell_date,sell_date_dt
Air Jordan 1 Bred 1985,Original vintage 1985 Jordan 1 Bred Size 9 in amazing condition Right shoe only,$800.00,https://www.ebay.com/itm/135429488780?_skw=Air+Jordan+1+Bred+1985&itmmeta=01JPH1140WRN98G2JFVQS1KKG5&hash=item1f883a008c:g:lYkAAOSwTgpnVekH&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1e2Jg3gXflqKLVm4pxkMurHLydMaKCkzwxyoeJJ3143Vga4w%2F2RPfWJzvm1udyJf7tQ8drm0JP%2Bpni6eMwh0xejmaBCKH8au9PEKKwQbEvjSoEWxaS%2FuGF7WEMJWYiKk5EgbEie5d98hd3EzzL0yjK3EaXn6sxr5ZQZzUzUtbNURMtGWCxHWifnlUobf36DfEDNQgfIYqHd4w6vBpg%2BSi08u%2BFuoG4NAaKawbRRrpEY8zkB3bkQDoa%2BydmDXBp8p6k%3D%7Ctkp%3ABk9SR9zAhKG0ZQ,,"Dec 16, 2024",2024-12-16
Air Jordan 1 Bred 1985,"Size 10 - Jordan 1 Retro OG High Banned, Bred",$260.00,https://www.ebay.com/itm/226645169511?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPH1140WPW9TCN5R6JNVDDGT&hash=item34c51ad567:g:opUAAOSwqCFn1Z4C&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1d2NM%2B1RRN%2FmE%2FiQC06mBhjc1doCNhB9ZuGxQ5lwOtTtjtCQy4Usi6cH9Qj%2FSznqcA%2FzNWE8PzvUEbigm%2FlygoecW6x2cqhdonriqN%2BMMh00Mp2JlbBYcTGdmzYNoRc8vyw%2BMp7YEdu4ikxqNHn84wyO1J2tL%2B32Df2DNwUPh5vYL%2FVIpQNofmiL32ndfuwL0iKRfsB%2FOZ8GZ6lfybhzWBFihXC9B0jV2a1yJCPNGoSfVCjhp9zrcMc3ax8q92R9Bs%3D%7Ctkp%3ABk9SR9zAhKG0ZQ,,"Dec 17, 2024",2024-12-17
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred,$180.00,https://www.ebay.com/itm/146435708936?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPH1140WRY2ABATT51TW25R5&hash=item22183f9808:g:WcYAAeSwx0Fny12m&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dgbF%2B9MYaF6b5FA5QyUYAalc0ptPqo2S02hVF2w8CiYiwjDSwgSXdBYMzfNZxrg%2FQRVKSWemKGgZDYa4QLXBxbyXZhIduxECyhlbU3MiHG%2FFU9x8kYghfgCh7vl00FSDikObZKwmQBGy%2FOhKimf%2B20HY50SlEQIMAaqeQyfUWcu6VU5%2BLdZRY0xa7oZ%2FvzjR6yF7jjgAyeGYaCudQAez0aX8JSnwlmCI3DCfYh9BOBFLrGx8fmYuGCbAg3WGOgVBA%3D%7Ctkp%3ABk9SR9zAhKG0ZQ,,"Dec 18, 2024",2024-12-18
Air Jordan 1 Bred 1985,Jordan 1 Retro OG High Patent Bred - Size 13,$170.00,https://www.ebay.com/itm/405634081981?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPH1140WBJBY8XRV1MQ05S0M&hash=item5e71ace4bd:g:5n0AAeSwrAlnzy5X&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dKHGjOZl3rVrKTBlN1SKxkIbCYpx8HufOKuiH6DxNHYGZIuqyKu42fX1r9jmJbrTD%2BMt%2BymJMPO%2FsHbjIRrNaEnF2ggQX2p4f6XKavRLaMiyx%2BEb%2FFbqJqdPVNpL4nGYyXmmpmNGJ33PUzuKr0VxaXPbJJjSfpnIHzw%2F33KLGnygk5u7bGT0pHZytn09ZWcRcgalxWCG7wWqavGQgKgGw3c48YK%2BFopODsIS6F5BJ2VPzejLl1%2FZ9YSbcefpohveiI%2BJKXw3uIgTfIfwo%2FOBXdrlRGLbY81XTFa5B4%2BqZYJg%3D%3D%7Ctkp%3ABk9SR9zAhKG0ZQ,,"Dec 19, 2024",2024-12-19
Air Jordan 1 Bred 1985,"Nike Air Jordan 1 Retro Banned 'Bred' 2016 Size 10 - Authentic, USED Condition",$174.02,https://www.ebay.com/itm/387464649949?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPH1140WW7GWV2RQXYYMGXSJ&hash=item5a36b15cdd:g:uPMAAOSwnN1m0eHz&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cHN5cvohTYlkmXvetPHh9vmSL0ahNgEqyO0FxpZ%2FRitjcH2md3HA04tdrqYmQC4qsVbU6gdOID64Sk9T%2FzWiDlO2BfzPvYeUPc1%2FoBBMzy2eNiQGeiDHumAxeXOdwmb6xaiOC0EMw5QsaZH%2BdY%2B8ifOHeCKA9DW%2Bb5eFXsmJ%2Ftmlv6sqvUtNidlqSUnxdPzXzz6xSVm3I53s82G3RixEqXJ%2FeOpjM18ZEgFN8EU2Yjq6kho6Q5MaFL%2BCJ7YM8JJIg%3D%7Ctkp%3ABk9SR9zAhKG0ZQ,,"Dec 20, 2024",2024-12-20
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred,$240.00,https://www.ebay.com/itm/256792015633?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPH1140W4YN4DWE1VGRQRNNC&hash=item3bc9ff3311:g:u5IAAOSwIGlnkbHm&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fTDcvKJD2%2FecJYv%2B7KLFfB1blWuiSV0uK%2BnPcAYGiUqmi7maQ0mTeuWFUNLMfmNpQ%2FL4SDj7eGK3qIrHs%2FvqvQj23D9DdkEXDTMoD8%2FYxRQR4CDGDW42w08xHy2MTfX6AMoQ161jdeELAeAlFdOAs3ObgpjOaAsGTIAoWSQCZ9o9Y8XpG%2B1g8AC2y73Zkfc66A%2BXG%2Frmco3xKhIFBXxTJhVz7kv5tByrufm0jF0Ut%2BJXazMEPScyd8iF%2F6ONgfl0E%3D%7Ctkp%3ABk9SR9zAhKG0ZQ,,"Dec 21, 2024",2024-12-21
Air Jordan 1 Bred 1985,2016 “Bred” Air Jordan 1,$239.99,https://www.ebay.com/itm/226641824337?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPH1140W76EXT027N2VV0MWE&hash=item34c4e7ca51:g:pzYAAeSwcKFntiL-&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1eXjG99y0chfHBXOgzCrqTwWQ9mOu47vu4tZtTbnNYFHhIsf4ziXvwitRAIQl2paP9nvH0RVhCZ9almkjZUDBCaiZQZ%2F97cJ7dwiiVkaxnGsLzlMGTirl%2BPiJ57BOxJr7j2gKB0cJOrQKMKz42VsAEbSHRqLVWasxwvg5huEuFrmqe%2B7qzKhiJ%2Faxy3eEO6KFxbPPzOLmT9CVTh27zV86utXyDyAgVhWsfkURfEac0O3q8xZ3REHKucDGchB0FfmGE%3D%7Ctkp%3ABk9SR9zAhKG0ZQ,,"Dec 22, 2024",2024-12-22
Air Jordan 1 Bred 1985,2016 “Bred” Air Jordan 1,$239.99,https://www.ebay.com/itm/226607613459?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPH1140W69T4S3FWC98B0JFT&hash=item34c2ddc613:g:pzYAAeSwcKFntiL-&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dB6uzoVad7u6WSMiKl967tNm%2Fpt2OV50tLDgdTvhZzy8pEHPhdXkce2p4CISLjwObVm5wT7ZIkkwy00A6faQ1bGw%2BkGPvKjQWwzeKVVpKlMugdqJ0MCS57rBT8V4ZJHpEjGxxKO3CdKmo8UXPzpQp20Xir%2Bou14PULTrMwlj48aP8QF2zZvnskW63DZ8t2y0FkIai6ltCkALOTTYMmhRJjXKBQcYNAkKgUNc%2B2sb6aUfOQMmF0FFBYUnT5WZUtsrNSaFz0I4Xguf04jIc1VhYfnLnWqmznqtgNRqoH5A6O3g%3D%3D%7Ctkp%3ABk9SR97AhKG0ZQ,,"Dec 23, 2024",2024-12-23
Air Jordan 1 Bred 1985,Jordan 1 High Patent Bred,$180.00,https://www.ebay.com/itm/286382936757?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPH1140WEF3TZ7FNM9DSKQTV&hash=item42adc0d2b5:g:BPkAAeSwmBJnx6th&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fv862ukz%2Bs%2FuALFPfZ5P1yLFEMUfcNgi%2FIJxXUJ%2FstYB8PaULTxfolmatnIjgMTE9Zkxk8%2BPCGa0qnL5vgsrRi1ZfFCTu34r8V77T7ObmgNOVH2rmrjUpfjw8ccAmCF05vlcsp66sWPNfCwoRErzp2bI1vHf8JA8iWM39gWvliqmQU9A7sELeySMwTC0p%2FU50nE12xkzc%2Bs6yUqPxsONG1bXWZGhHLHJQx5wJC0kaumSAegvGBRzuFJO48gq4lRrU%3D%7Ctkp%3ABk9SR97AhKG0ZQ,,"Dec 24, 2024",2024-12-24
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred used NO BOX !!!,$130.00,https://www.ebay.com/itm/226628841812?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPH1140WD20Y16QEK4VHKBBY&hash=item34c421b154:g:J-0AAeSwonNnxolh&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1ftwVQriWwQZOQJn0iPzLILJary3Zch17qAfM%2FHQMfQpXlaPlMTngPUcoCpaJLwbJGDeO%2B9oMbP%2BkfLkVvyzqiw%2FUV8B%2BSbS6YHqx18H%2BLeyDHQt4OWZA1AVAL501L2%2FhRvTtyV0L92QORDFkCBc44C0b6xGZZK9N%2BEgeTXgPp18vf1Ey7qF%2BUKoXWPoMBeF3hhXPpq6yT9SEkw3ZfkCH%2BXjlsho7POPjE9tyPJm14kTd35v84GAS5dWLD7eo1aJVvPkM1GtauUfmYKwsrZxfMhpuMx7N%2B3zP16GFzoO6NhyQ%3D%3D%7Ctkp%3ABk9SR97AhKG0ZQ,,"Dec 25, 2024",2024-12-25
