model,title,price,link,authenticity,sell_date,price_numeric,week
Air Jordan 1 Bred 1985,Jordan 1 Retro OG High Patent Bred - Size 13,$170.00,https://www.ebay.com/itm/405634081981?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPDA7QMB2JVCSYTNSWHQ2Y70&hash=item5e71ace4bd:g:5n0AAeSwrAlnzy5X&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dB22ncj9aMtStKvy%2F3U01srbWCQY42aidSfSK%2BXE2hzFCN2dijdQmbsU7xDbj14uCDQN8hoTxTftwClrXZlmaZw85hBdk6JxLKDMhq2D0zkG0lWdshb1sAjaTCmg7gDeAL3P6bVWTkwaW3IJAO7%2B744a9zSTkp8ImeshLe%2BR3KH3DSOb%2BxPH%2Bkb%2B0YS5QN4gRbOh0atd3go1bSPAU1Nhok0d2CPqJQOC9E1CIxTgBUs2pAPvnIWnDVZm6eGiwNrwY%3D%7Ctkp%3ABk9SR7T6nqqzZQ,,,170.0,
Air Jordan 1 Bred 1985,"Nike Air Jordan 1 Retro Banned 'Bred' 2016 Size 10 - Authentic, USED Condition",$174.02,https://www.ebay.com/itm/387464649949?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPDA7QMB8B2QAWMFRJBCSFVR&hash=item5a36b15cdd:g:uPMAAOSwnN1m0eHz&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1c1kSCoxRb%2B%2BEXZVuvDs3AVOCpAtPKS0HDldTCjto%2BFKjolrYTsS3%2Bw5wcAgEnhZZF7Xf329Nd2r%2Bhz56lnLzWq8LvyG50VZz5rYhyYVCUshjI4csU5cusfuH2rD4lUUaaC3Z99MFLAhBV5pZTBY%2F3CeFJx5koiSC7rSxRRmdIS%2BVfuOc5Qcr%2B1XP4ubQ8waaOHGIsOODs0eobK9fZ5WD4uciCo95JHYP8jWnxPS8TZnyXXzaoRa%2FWerYX4MHWmNEqJFI9VWuNXmuSUdbiXwBzqtrXhRtG6qgbOF6sLT0xztQ%3D%3D%7Ctkp%3ABk9SR7T6nqqzZQ,,,174.02,
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred,$240.00,https://www.ebay.com/itm/256792015633?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPDA7QMBMA0Q9SNGM835AXKE&hash=item3bc9ff3311:g:u5IAAOSwIGlnkbHm&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eYlxoMwATH8qMEKMWqjEFJ4Y%2B5aS9nnwKOb%2FDokZfr5aDr1ywhBLuwfZPoHzj9r7hEpwFMA8%2B8Js9GHiqgYKdPugM05o%2FYJ7aQCDCOtzLo5Nmr%2BLBM6r2ktaoaJ94420fJKDyCX62XkSUapXlt9ch5qx6EeiA2nAcdQqgUj05zpwd27JmNKgJZtky0DY%2FlNKhcbczXmbCuIhKXVOrapRLqSg4w2s7SuT8M7i--U2S8I2sSeW3KM7FTPkMT%2F3nbceChdMH3hU%2FRcg3CFWkXSQsdnvQi%2FZjCDMhrW28n2T%2BtrA%3D%3D%7Ctkp%3ABk9SR7T6nqqzZQ,,,240.0,
Air Jordan 1 Bred 1985,2016 “Bred” Air Jordan 1,$239.99,https://www.ebay.com/itm/226641824337?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPDA7QMBHSE83TKQ2AS4K9RE&hash=item34c4e7ca51:g:pzYAAeSwcKFntiL-&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1eXjG99y0chfHBXOgzCrqTwWQ9mOu47vu4tZtTbnNYFHtNa3q%2FNtDq6ORfoUpqur4fuhsuKzu0B%2BDS3MdPs8ZnW5ST5e1WU12ym76DcAYIwHnoUlhWwlAADhvEpwXtVcayPGuFGBZ1LsqQeavMRQmmhqS%2B5tLwFd7PsJaI9%2Bg1300hrxt%2FiVz6JD9its0J64Tu7fAM0L7ztWyEG6aq5MTfaJp5aG5wspS4XeFaC7KTKDCKB3SLbNvpmhY7Tbl7hw4g%3D%7Ctkp%3ABk9SR7T6nqqzZQ,,,239.99,
Air Jordan 1 Bred 1985,2016 “Bred” Air Jordan 1,$239.99,https://www.ebay.com/itm/226607613459?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPDA7QMBSVR1TXPKPJVMQP5X&hash=item34c2ddc613:g:pzYAAeSwcKFntiL-&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dB6uzoVad7u6WSMiKl967tNm%2Fpt2OV50tLDgdTvhZzy8pEHPhdXkce2p4CISLjwObVm5wT7ZIkkwy00A6faQ1bGw%2BkGPvKjQWwzeKVVpKlMugdqJ0MCS57rBT8V4ZJHpGnhxWCrQ27OBA4mVVrq6XNijpRlK4g4EhpHxI2peUobepWIxsCG05pMBlh1jtxSCpFnAqNz%2FKUXMwE5ntlLxQX1Wp%2Bn2F5iHg4Maxs87XY3gxTPmGM91mpGGq9CldhOl2nx9Xf2pYtklkpwnhWSjR6iQHYEozirkNM6rH5QJyXvg%3D%3D%7Ctkp%3ABk9SR7T6nqqzZQ,,,239.99,
Air Jordan 1 Bred 1985,Jordan 1 High Patent Bred,$180.00,https://www.ebay.com/itm/286382936757?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPDA7QMBH73GJ8X7XZQ2AJMR&hash=item42adc0d2b5:g:BPkAAeSwmBJnx6th&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1d%2FGh5oXLqyVnViv%2FAUC083i1Vq6eTKLuvbe%2Bm4UQvtwz3LYTCHHG3QNa24RAe8M9BjIdR%2BYLj94hW0VpnTTvGfJArUP%2FWB7T%2B3tR%2BdekV3oUEbaSXy02zBIX6inGnogA52DlW3JCvvQXoc1KUbqsSw3mGci7bkacq0M85CvRn%2FV1Ts0IAd6gue8k2Da1T6w0Dhnr5ZUuv7mzsoTHF8GeMpd4Q%2F7y0Us%2BpFXdlC5%2FeFAYhkLbDA6bFXeDl8XEIz24dB%2F9d38ssHTgh3xDuogVB9Bm7HsWXd%2FPGP5cZG%2FZJRpw%3D%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,180.0,
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred used NO BOX !!!,$130.00,https://www.ebay.com/itm/226628841812?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPDA7QMBYBD9QBS6YFCF52G4&hash=item34c421b154:g:J-0AAeSwonNnxolh&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1ftwVQriWwQZOQJn0iPzLILJary3Zch17qAfM%2FHQMfQpXlaPlMTngPUcoCpaJLwbJGDeO%2B9oMbP%2BkfLkVvyzqiw%2FUV8B%2BSbS6YHqx18H%2BLeyDHQt4OWZA1AVAL501L2%2FhRo5v1MW5k0r1DfTorCWdQUQKLKUJoXWWyg0qbaox1LHeFVMvRj61BzFkrOz%2FophR4OBHbAMvEerYNJj3oJSLxsGwnwwPuX43%2B9jluklouB%2BTDRaRYfzZyIBxiz%2B%2Bkr5%2BveTDt847sLlnl6X8PC0rxz%2Faw8FmMsLibo%2BXqRuv1lNg%3D%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,130.0,
Air Jordan 1 Bred 1985,Nike Air Jordan 1 Retro High OG Shadow 555088-013 Size 10 2018,$249.99,https://www.ebay.com/itm/135595150612?_skw=Air+Jordan+1+Bred+1985&epid=14039798996&itmmeta=01JPDA7QMBQ0DDBR29S9Z44EDC&hash=item1f9219cd14:g:YyQAAeSw3V5nxaok&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1czBsQWLALwcW3eojsgKmoqlHJ4qEOPQpwMhhh6jC571PXu4%2Fff%2F26l9m4Tvv4abNgooJ7L0Qr0Eset5LQJq3rIlOQyDJ1uXDPYcd8y%2FbrfHC3ZtDuV%2FyO67GFretegfAxd4CBEl5sQ5MMXPYui7GGIcuMuNvzpwEDOKtvGe4%2BXmS3cZFVdnNOLmdKF4RhlODtQrOVH3N5%2B6xM6yUgYbDo%2BCeKuPa7ajGvzZKe2ksfvmIerkXyQ1GFHFyh%2BHH3fcemLu5RSt1WjKShEuXyrWM6u0h5fS%2F4AEa%2FO8Q0%2Fu5OOeg%3D%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,249.99,
Air Jordan 1 Bred 1985,Jordan 1 Mid Banned 2020 Size 13 554724-074 Black Red Bred OG Men’s Shoes,$65.00,https://www.ebay.com/itm/316417856973?_skw=Air+Jordan+1+Bred+1985&epid=5046954101&itmmeta=01JPDA7QMBGYSEFNC9BJXN7J0C&hash=item49abf955cd:g:X-AAAOSwka1nDS2d&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eNpX6ulR8BFfPM3JWhyYc7WaL5FzoVvX7tIcHSql63t%2FgMYlv3Ghlz42JkZd5mGwMvI6HQVjt1v6ZpWISmtfSbPkp%2BAGhhauxu0UgorZdZ96KI0hd3hfeU2r52l7ciiYWTiKVDCaC8XmnFE61YHs%2BgZCkvpQNbtN2BiIhcfNJNcZxgzm9FWsZNR5bfuDmIBPex12zC8%2Bi%2BB0NVeR2VkiLs28M%2BQ4h1J9dCXGxN12JQR4YBw48EyUAoEH7LN%2BdnNiG0eHHBy%2F8I%2BZQnpPWVJq3PtahfanT002gfyvWfd2WD5Q%3D%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,65.0,
Air Jordan 1 Bred 1985,Nike Jordan 1 Retro High “Bred Banned” 2016 Sz 10,$435.00,https://www.ebay.com/itm/226091622148?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPDA7QMB0B82ZBTEBG28RER9&hash=item34a41c5f04:g:GG8AAOSwiMhmo-yl&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dypWhJ3FvFRJ1UImHQGSr3YecJzhJ7Tq8Myi3eT7j%2B63N0xPyJQhrYWy5GYsQN05i1uiiTz0AeqbRTvrOJ3wWrmo6qqGnBXk5LsJm6y%2BQkaNUcF6My2cEnv6uVuEj0fQenN3qgxF5n9H0lWhWdYW2nCBaBEx6ezWZ4nao5ZYNl18YBGNbHOfYsn2AurRrJ0jppyos8QY3KrBvlvC1iV2CqtSbJ0v9j%2F5hv0HxCiBuGylGtLWsFlVHBkKOH8k4Q%2FpQ%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,435.0,
